BYU_1_PREDICTION,BYU_0_PREDICTION,BYU_PREDICTION,THRESHOLD,POSITIVE_CLASS,EThree,Position,Utah,Distance,Height,Weight,Score,LDS,Alumni,Poly
0.0068243488,0.9931756512,0,0.5,1,1,QB,0,2043.27,75,215,92,0,0,0
0.0147632689,0.9852367311,0,0.5,1,1,WR,0,599.48,73,180,90,0,0,0
0.2444974323,0.7555025677,0,0.5,1,1,TE,1,240.47,79,240,86,1,1,0
0.0362433311,0.9637566689,0,0.5,1,1,CB,0,1549.67,75,180,85,0,0,0
0.2337412382,0.7662587618,0,0.5,1,1,WR,1,74.25,74,185,85,1,1,1
0.161272514,0.838727486,0,0.5,1,1,QB,0,518.94,74,220,84,1,0,0
0.041449179,0.958550821,0,0.5,1,1,CB,0,576.46,72,180,84,0,0,0
0.026833394,0.973166606,0,0.5,1,1,LB,0,2986.56,76,215,84,0,0,1
0.2192527768,0.7807472232,0,0.5,1,1,OL,1,43.33,77,295,83,1,0,1
0.0658109635,0.9341890365,0,0.5,1,1,CB,0,562.13,74,170,83,0,0,0
0.0575571538,0.9424428462,0,0.5,1,1,CB,0,472.91,73,180,83,0,0,0
0.0673968207,0.9326031793,0,0.5,1,1,CB,0,563.69,74,165,83,0,0,0
0.0598281494,0.9401718506,0,0.5,1,1,OL,0,559.61,77,295,83,0,1,1
0.0408002987,0.9591997013,0,0.5,1,1,RB,0,1057.61,73,215,83,0,0,0
0.0512618147,0.9487381853,0,0.5,1,1,OL,0,605.41,78,340,82,0,0,1
0.094793152,0.905206848,0,0.5,1,1,DL,0,728.27,78,250,81,0,0,0
0.0442677378,0.9557322622,0,0.5,1,1,DL,0,1450.88,75,340,81,0,1,1
0.0667857973,0.9332142027,0,0.5,1,1,DL,0,343.39,74,255,81,0,0,0
0.1030009431,0.8969990569,0,0.5,1,1,LB,0,573.27,76,240,81,0,1,1
0.0863872033,0.9136127967,0,0.5,1,1,OL,0,518.94,78,275,81,0,0,0
0.0470578619,0.9529421381,0,0.5,1,1,OL,0,1870.9,78,320,81,0,0,0
0.2533530719,0.7466469281,0,0.5,1,1,OL,1,21.16,77,335,81,1,0,1
0.0502263204,0.9497736796,0,0.5,1,1,RB,0,1572.44,72,195,81,0,0,0
0.0808258104,0.9191741896,0,0.5,1,1,RB,0,341.28,72,170,81,0,0,0
0.2736219978,0.7263780022,0,0.5,1,0,DL,0,985.9,74,230,80,1,0,0
0.3465426385,0.6534573615,0,0.5,1,0,OL,0,338.97,76,285,80,1,1,0
0.1627712094,0.8372287906,0,0.5,1,1,OL,0,2920.08,78,310,80,1,0,0
0.0775985716,0.9224014284,0,0.5,1,1,OL,0,472.91,77,315,80,0,0,0
0.3175083742,0.6824916258,0,0.5,1,1,OL,0,374.07,77,270,80,1,0,1
0.3496834973,0.6503165027,0,0.5,1,1,QB,1,21.16,73,200,80,1,0,1
0.3144154332,0.6855845668,0,0.5,1,1,QB,0,484.4,74,205,80,1,0,0
0.1423095862,0.8576904138,0,0.5,1,0,DB,0,345.54,74,185,79,0,0,0
0.3393615129,0.6606384871,0,0.5,1,0,DL,0,1149.59,75,265,79,1,1,1
0.1398182482,0.8601817518,0,0.5,1,0,OL,0,479.65,78,265,79,0,0,0
0.107260472,0.892739528,0,0.5,1,0,OL,0,355.28,76,285,79,0,0,0
0.0771098986,0.9228901014,0,0.5,1,0,RB,0,653.7,69,185,79,0,0,0
