EThree,Position,Utah,Distance,Height,Weight,Score,LDS,Alumni,Poly
1,QB,0,2043.27,75,215,92,0,0,0
1,WR,0,599.48,73,180,90,0,0,0
1,TE,1,240.47,79,240,86,1,1,0
1,CB,0,1549.67,75,180,85,0,0,0
1,WR,1,74.25,74,185,85,1,1,1
1,QB,0,518.94,74,220,84,1,0,0
1,CB,0,576.46,72,180,84,0,0,0
1,LB,0,2986.56,76,215,84,0,0,1
1,OL,1,43.33,77,295,83,1,0,1
1,CB,0,562.13,74,170,83,0,0,0
1,CB,0,472.91,73,180,83,0,0,0
1,CB,0,563.69,74,165,83,0,0,0
1,OL,0,559.61,77,295,83,0,1,1
1,RB,0,1057.61,73,215,83,0,0,0
1,OL,0,605.41,78,340,82,0,0,1
1,DL,0,728.27,78,250,81,0,0,0
1,DL,0,1450.88,75,340,81,0,1,1
1,DL,0,343.39,74,255,81,0,0,0
1,LB,0,573.27,76,240,81,0,1,1
1,OL,0,518.94,78,275,81,0,0,0
1,OL,0,1870.9,78,320,81,0,0,0
1,OL,1,21.16,77,335,81,1,0,1
1,RB,0,1572.44,72,195,81,0,0,0
1,RB,0,341.28,72,170,81,0,0,0
0,DL,0,985.9,74,230,80,1,0,0
0,OL,0,338.97,76,285,80,1,1,0
1,OL,0,2920.08,78,310,80,1,0,0
1,OL,0,472.91,77,315,80,0,0,0
1,OL,0,374.07,77,270,80,1,0,1
1,QB,1,21.16,73,200,80,1,0,1
1,QB,0,484.4,74,205,80,1,0,0
0,DB,0,345.54,74,185,79,0,0,0
0,DL,0,1149.59,75,265,79,1,1,1
0,OL,0,479.65,78,265,79,0,0,0
0,OL,0,355.28,76,285,79,0,0,0
0,RB,0,653.7,69,185,79,0,0,0
0,TE,0,896.65,77,220,79,1,0,0
0,WR,0,981.34,71,185,79,0,0,0
0,CB,0,542.59,73,175,78,0,0,0
0,TE,1,3.17,75,210,78,1,1,1
0,TE,0,360.92,78,220,78,1,1,0
0,WR,1,14.74,73,165,78,1,1,1
0,CB,0,559.83,74,170,78,0,0,0
0,DB,0,1547.4,73,190,78,0,0,0
0,DB,0,1549.67,73,185,78,0,0,0
0,OL,0,341.28,79,350,78,0,0,0
0,OL,0,2995.46,75,290,78,0,1,1
0,OL,0,479.18,79,280,78,0,0,0
0,QB,1,3.17,77,235,78,1,0,1
0,TE,0,2920.08,76,225,78,0,0,1
0,LB,1,30.04,76,205,77,1,1,0
0,WR,1,107.26,71,180,77,1,1,0
0,LB,0,581.95,76,215,77,0,0,0
0,RB,0,663.33,71,195,77,0,0,0
0,TE,0,2986.56,77,250,77,1,0,1
0,TE,1,3.17,79,235,77,1,0,0
0,DB,0,595.7,74,185,76,1,0,1
0,DL,0,840.42,75,255,76,1,0,1
0,DL,1,3.17,75,250,76,1,1,1
0,RB,1,14.74,70,180,76,1,0,0
0,TE,0,950.49,76,215,76,1,1,0
0,CB,0,564.39,72,170,76,0,0,0
0,CB,0,533,72,165,76,0,0,0
0,DB,1,1.77,73,185,76,1,1,1
0,QB,1,55.47,76,205,76,1,0,0
0,TE,0,910.22,78,220,76,0,0,0
0,CB,0,480.93,72,165,75,0,1,0
0,DB,0,945.76,75,180,75,0,0,0
0,WR,0,663.05,70,165,75,0,0,0
0,CB,0,547.4,73,180,75,0,0,0
0,CB,0,434.11,72,140,75,0,0,0
0,CB,0,1547.4,72,165,75,0,0,0
0,DL,0,1030.14,77,250,75,0,0,0
0,OL,0,3040.09,76,250,75,0,0,1
0,LB,0,471.83,75,225,74,0,0,1
