EThree,Position,Utah,Distance,Height,Weight,Score,BYU,LDS,Alumni,Poly
1,QB,0,563.39,78,195,89,0,0,0,1
1,QB,0,566.75,76,185,87,0,0,0,0
1,CB,0,572.44,71,175,84,0,0,0,0
1,LB,1,16.56,76,220,84,0,1,1,1
1,TE,0,518.94,77,235,84,0,1,1,0
1,DL,0,561.75,79,255,83,0,0,0,0
1,TE,0,224.41,76,225,83,0,1,0,0
1,DB,0,534.04,73,180,82,0,0,0,0
1,OL,1,1.77,76,260,82,0,1,0,1
1,WR,0,1057.51,71,170,82,0,0,0,0
1,WR,0,518.94,73,190,82,0,0,0,0
1,WR,0,605.59,73,190,82,0,0,0,0
1,RB,0,640.52,73,205,81,1,0,0,0
1,TE,0,470.91,76,245,81,1,1,0,0
1,OL,0,476.32,77,265,81,0,0,0,1
1,OL,0,534.99,75,310,81,0,0,0,1
1,RB,0,560.42,72,175,81,0,0,0,0
0,CB,1,23.11,70,170,80,0,1,1,0
0,DB,0,571.1,73,180,80,0,0,0,0
0,DL,0,346.21,76,260,80,0,0,0,0
0,OL,1,16.56,78,300,80,0,0,0,1
0,RB,0,1967.2,70,190,80,0,0,0,0
0,WR,0,595.03,73,195,80,0,0,0,0
0,WR,0,587.83,74,170,80,0,0,0,0
0,LB,0,2986.56,73,215,79,0,1,0,1
0,OL,0,576.46,77,300,79,0,0,0,0
0,OL,0,454.74,78,295,79,0,0,0,0
0,WR,0,605.59,75,175,79,0,0,0,0
0,WR,0,548.43,73,165,79,0,0,0,0
0,DL,1,1.77,75,270,78,1,1,1,1
0,QB,1,7.63,74,180,78,1,1,0,0
0,DB,0,365.73,73,175,78,0,0,0,0
0,DB,0,565.53,74,195,78,0,0,0,0
0,DB,0,501.13,71,200,78,0,0,0,0
0,DL,0,1456.05,76,240,78,0,1,0,0
0,OL,0,706.58,75,280,78,0,1,0,1
0,OL,0,529.19,78,300,78,0,0,0,1
0,QB,0,548.43,74,190,78,0,0,0,0
0,WR,0,484.03,76,190,78,0,0,1,0
0,OL,0,345.09,80,305,77,1,1,0,0
0,LB,0,348.93,73,210,77,0,0,0,0
0,OL,0,493.49,76,260,77,0,0,0,0
0,OL,0,454.52,77,300,77,0,0,0,0
0,OL,0,962.85,79,280,77,0,1,0,0
0,OL,0,982.2,76,315,77,0,0,1,1
0,OL,0,2063.65,77,305,77,0,0,0,1
0,QB,0,567.3,77,215,77,0,0,0,1
0,TE,0,338.97,77,230,77,0,0,0,0
0,LB,1,31.62,73,195,76,1,0,0,0
